sequence,fake_file,FID
K06_A006_R04,K06_A006_R04_label_5.npy,13.378393685638223
K06_A007_R01,K06_A007_R01_label_6.npy,7.693047553681951
K06_A007_R02,K06_A007_R02_label_6.npy,4.817916258169072
K06_A007_R03,K06_A007_R03_label_6.npy,6.850622489938759
K06_A007_R04,K06_A007_R04_label_6.npy,4.605990150768874
K06_A008_R01,K06_A008_R01_label_7.npy,3.998689608754914
K06_A008_R02,K06_A008_R02_label_7.npy,7.509913337956938
K06_A008_R03,K06_A008_R03_label_7.npy,7.91497872809384
K06_A008_R04,K06_A008_R04_label_7.npy,0.5506462263018228
K06_A009_R01,K06_A009_R01_label_8.npy,8.419693419361623
K06_A009_R02,K06_A009_R02_label_8.npy,7.176314698453165
K06_A009_R03,K06_A009_R03_label_8.npy,11.383818054502497
K06_A009_R04,K06_A009_R04_label_8.npy,7.670285477411892
K06_A010_R01,K06_A010_R01_label_9.npy,28.207854919197274
K06_A010_R02,K06_A010_R02_label_9.npy,27.840907043540078
K06_A010_R03,K06_A010_R03_label_9.npy,25.496529653932456
K06_A010_R04,K06_A010_R04_label_9.npy,39.4435152158327
K06_A011_R01,K06_A011_R01_label_10.npy,2.420932040925431
K06_A011_R02,K06_A011_R02_label_10.npy,10.623495989726969
K06_A011_R03,K06_A011_R03_label_10.npy,9.243813020646993
K06_A011_R04,K06_A011_R04_label_10.npy,6.238687672765591
K06_A012_R01,K06_A012_R01_label_11.npy,8.76150697395262
K06_A012_R02,K06_A012_R02_label_11.npy,52.45519245816344
K06_A012_R03,K06_A012_R03_label_11.npy,12.464970917848655
K06_A012_R04,K06_A012_R04_label_11.npy,2.9673467781470895
K06_A013_R01,K06_A013_R01_label_12.npy,1.4686454256747399
K06_A013_R02,K06_A013_R02_label_12.npy,6.1055835741685085
K06_A013_R03,K06_A013_R03_label_12.npy,8.012800020437016
K06_A013_R04,K06_A013_R04_label_12.npy,7.614395551997499
K06_A014_R01,K06_A014_R01_label_13.npy,2.807898528302154
